UserID,Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
1000001,Yes,307.0,Mobile,38570.0,1.0,2,Financial,94.0,5993,8,1.0,11,No,1,0.0,8.0
1000002,No,367.0,Mobile,9765.0,1.0,1,Financial,61.0,5130,1,0.0,23,Yes,4,1.0,10.0
1000003,Yes,277.0,Mobile,48055.0,1.0,2,Other,92.0,2090,6,1.0,15,No,2,0.0,7.0
1000004,No,247.0,Mobile,48720.0,1.0,4,Financial,56.0,2909,1,1.0,11,No,3,0.0,8.0
1000005,No,202.0,Mobile,20685.0,1.0,1,Medical,40.0,3468,9,0.0,12,No,4,1.0,6.0
1000006,No,240.0,Mobile,35175.0,1.0,2,Financial,79.0,3068,0,0.0,13,No,3,0.0,8.0
1000007,No,271.0,Mobile,46340.0,1.0,3,Medical,81.0,2670,4,1.0,20,Yes,1,3.0,12.0
1000008,No,225.0,Mobile,28076.0,24.0,1,Financial,67.0,2693,1,0.0,22,Yes,2,1.0,1.0
1000009,No,285.0,Mobile,7560.0,23.0,3,Financial,44.0,9526,0,0.0,21,Yes,2,0.0,10.0
1000010,No,270.0,Mobile,45465.0,27.0,3,Beach,94.0,5237,6,0.0,13,No,2,2.0,17.0
1000011,No,262.0,Mobile,28315.0,16.0,3,Medical,84.0,2426,0,0.0,13,No,3,1.0,6.0
1000012,No,217.0,Mobile,5355.0,15.0,2,Financial,49.0,4193,0,1.0,4,No,10,0.0,12.0
1000013,No,232.0,Mobile,23450.0,26.0,1,Financial,31.0,2911,1,0.0,17,No,4,1.0,5.0
1000014,No,255.0,Mobile,47110.0,19.0,2,Medical,93.0,2661,0,0.0,11,No,3,1.0,3.0
1000015,Yes,210.0,Mobile,3605.0,24.0,3,Financial,50.0,2028,5,1.0,14,No,2,0.0,6.0
1000016,No,217.0,Mobile,48615.0,21.0,4,Financial,51.0,9980,1,0.0,11,No,3,1.0,10.0
1000017,No,240.0,Mobile,28076.0,1.0,2,Financial,80.0,3298,0,1.0,12,No,4,2.0,7.0
1000018,No,165.0,Mobile,28076.0,16.0,2,Medical,96.0,2935,1,1.0,13,No,2,2.0,1.0
1000019,No,397.0,Mobile,42665.0,1.0,4,Financial,78.0,15427,2,0.0,16,No,3,0.0,31.0
1000020,No,285.0,Mobile,12985.0,1.0,3,Financial,45.0,3944,5,1.0,11,No,3,0.0,6.0
1000021,No,180.0,Mobile,23555.0,11.0,2,Other,96.0,4011,0,0.0,18,No,4,1.0,5.0
1000022,Yes,270.0,Mobile,42630.0,1.0,4,Financial,82.0,3407,7,0.0,23,Yes,2,0.0,10.0
1000023,No,255.0,Mobile,14665.0,1.0,4,Financial,53.0,11994,0,0.0,11,No,3,0.0,13.0
1000024,No,157.0,Mobile,13685.0,15.0,2,Financial,96.0,1232,1,0.0,14,No,4,0.0,0.0
1000025,Yes,255.0,Mobile,24465.0,1.0,1,Medical,83.0,2960,2,0.0,11,No,3,0.0,8.0
1000026,No,397.0,Mobile,44870.0,1.0,3,Game,58.0,19094,4,0.0,11,No,4,1.0,26.0
1000027,Yes,240.0,Mobile,39375.0,16.0,1,Financial,72.0,3919,1,1.0,22,Yes,2,0.0,10.0
1000028,No,271.0,Mobile,24185.0,1.0,4,Social media,48.0,6825,0,0.0,11,No,4,1.0,10.0
1000029,No,330.0,Mobile,16695.0,1.0,4,Medical,42.0,10248,3,0.0,14,No,4,1.0,24.0
1000030,No,345.0,Mobile,28076.0,1.0,4,Social media,83.0,18947,3,0.0,12,No,4,0.0,22.0
1000031,No,247.0,Mobile,28076.0,1.0,3,Medical,78.0,2496,4,0.0,11,No,4,0.0,7.0
1000032,No,330.0,Mobile,51065.0,10.0,4,Other,41.0,6465,2,1.0,13,No,4,0.0,9.0
1000033,No,225.0,Mobile,4375.0,1.0,2,Medical,83.0,2206,1,0.0,13,No,1,0.0,10.0
1000034,Yes,292.0,Mobile,31325.0,1.0,3,Entertainment,56.0,2086,3,0.0,14,No,3,1.0,19.0
1000035,Yes,180.0,Mobile,28455.0,1.0,3,Medical,61.0,2293,2,1.0,16,No,1,1.0,6.0
1000036,No,322.0,Mobile,44555.0,1.0,2,Medical,72.0,2645,1,0.0,12,No,4,2.0,6.0
1000037,Yes,375.0,Mobile,30415.0,1.0,2,Social media,86.0,2683,1,1.0,14,No,3,0.0,3.0
1000038,No,262.0,Mobile,31150.0,1.0,3,Social media,97.0,2014,1,0.0,13,No,1,0.0,2.0
1000039,No,270.0,Mobile,29820.0,1.0,4,Financial,82.0,3419,9,1.0,14,No,4,1.0,6.0
1000040,No,247.0,Mobile,39935.0,1.0,3,Financial,42.0,5376,2,0.0,19,No,1,2.0,10.0
1000041,No,262.0,Mobile,16240.0,1.0,2,Other,75.0,1951,1,0.0,12,No,3,1.0,1.0
1000042,No,202.0,Mobile,43400.0,1.0,4,Financial,33.0,2341,1,0.0,13,No,4,1.0,1.0
1000043,Yes,195.0,Mobile,47495.0,25.0,3,Financial,48.0,2293,1,0.0,12,No,3,0.0,1.0
1000044,No,202.0,Mobile,34790.0,1.0,3,Financial,37.0,8726,1,0.0,15,No,4,0.0,9.0
1000045,No,225.0,Mobile,25235.0,1.0,2,Medical,58.0,4011,1,0.0,23,Yes,4,0.0,12.0
1000046,Yes,307.0,Mobile,47600.0,12.0,3,Entertainment,49.0,19545,1,0.0,12,No,4,0.0,23.0
1000047,No,255.0,Mobile,28076.0,23.0,4,Social media,72.0,4568,0,0.0,20,Yes,3,0.0,10.0
1000048,No,277.0,Mobile,28076.0,19.0,2,Financial,73.0,3022,4,0.0,21,Yes,1,0.0,8.0
1000049,No,345.0,Mobile,42385.0,1.0,4,Social media,75.0,5772,4,0.0,21,Yes,3,0.0,14.0
1000050,No,262.0,Mobile,28076.0,1.0,1,Financial,75.0,2269,1,0.0,19,No,4,0.0,1.0
1000051,Yes,360.0,Mobile,28076.0,1.0,2,Financial,98.0,5381,9,1.0,13,No,4,0.0,23.0
1000052,Yes,210.0,Mobile,50190.0,1.0,4,Entertainment,50.0,3441,1,1.0,13,No,3,0.0,2.0
1000053,No,330.0,Mobile,52080.0,1.0,5,Social media,75.0,5454,5,1.0,21,Yes,3,1.0,9.0
1000054,No,262.0,Mobile,38395.0,11.0,2,Medical,79.0,9884,2,1.0,13,No,3,1.0,10.0
1000055,No,195.0,Mobile,50505.0,23.0,3,Social media,47.0,4157,7,1.0,19,No,3,1.0,5.0
1000056,No,247.0,Mobile,18025.0,1.0,2,Financial,98.0,13458,1,1.0,12,No,3,0.0,15.0
1000057,No,262.0,Mobile,29855.0,18.0,5,Financial,71.0,9069,1,0.0,22,Yes,4,1.0,9.0
1000058,No,262.0,Mobile,39970.0,23.0,4,Medical,3.0,4014,3,1.0,15,No,3,1.0,4.0
1000059,No,232.0,Mobile,22925.0,1.0,4,Financial,48.0,5915,3,0.0,22,Yes,4,1.0,10.0
1000060,No,277.0,Mobile,39025.0,1.0,4,Financial,51.0,5993,1,0.0,18,No,3,1.0,7.0
1000061,No,240.0,Mobile,14945.0,1.0,3,Medical,33.0,6162,1,1.0,22,Yes,2,1.0,9.0
1000062,No,285.0,Mobile,22855.0,29.0,5,Financial,50.0,2406,1,0.0,11,No,4,0.0,10.0
1000063,No,375.0,Mobile,34615.0,1.0,2,Medical,43.0,18740,5,1.0,12,No,4,1.0,29.0
1000064,No,271.0,Mobile,50225.0,4.0,3,Financial,99.0,7637,7,0.0,11,No,4,0.0,28.0
1000065,No,270.0,Mobile,42805.0,4.0,3,Entertainment,59.0,10096,1,0.0,13,No,2,3.0,17.0
1000066,No,412.0,Mobile,29260.0,1.0,3,Medical,33.0,14756,2,1.0,14,No,3,3.0,21.0
1000067,No,270.0,Mobile,41825.0,11.0,3,Financial,95.0,6499,1,0.0,13,No,3,0.0,6.0
1000068,No,271.0,Mobile,46865.0,1.0,3,Financial,59.0,9724,2,0.0,17,No,3,1.0,25.0
1000069,No,262.0,Mobile,23240.0,1.0,3,Medical,79.0,2194,4,0.0,13,No,4,1.0,5.0
1000070,Yes,270.0,Mobile,11130.0,1.0,3,Medical,79.0,3388,0,1.0,17,No,1,1.0,2.0
1000071,No,271.0,Mobile,42875.0,1.0,1,Financial,57.0,5473,7,0.0,11,No,4,0.0,20.0
1000072,No,217.0,Mobile,46480.0,1.0,3,Beach,76.0,2703,0,0.0,23,Yes,4,1.0,6.0
1000073,No,232.0,Mobile,37870.0,1.0,4,Medical,87.0,2501,1,0.0,17,No,2,0.0,1.0
1000074,No,240.0,Mobile,19180.0,1.0,3,Financial,66.0,6220,1,0.0,17,No,2,2.0,10.0
1000075,No,270.0,Mobile,4620.0,1.0,3,Financial,55.0,3038,3,0.0,12,No,2,0.0,5.0
1000076,No,232.0,Mobile,26110.0,1.0,4,Financial,61.0,4424,1,0.0,23,Yes,4,0.0,11.0
1000077,No,262.0,Mobile,27160.0,1.0,4,Social media,32.0,4312,0,0.0,14,No,2,0.0,16.0
1000078,No,271.0,Mobile,6755.0,1.0,4,Other,52.0,13245,4,1.0,14,No,2,0.0,17.0
1000079,No,277.0,Mobile,13895.0,1.0,4,Medical,3.0,13664,4,0.0,13,No,1,0.0,16.0
1000080,No,345.0,Mobile,33075.0,1.0,2,Medical,80.0,5021,8,1.0,22,Yes,4,1.0,16.0
1000081,No,225.0,Mobile,29820.0,1.0,1,Financial,55.0,5126,1,1.0,12,No,3,2.0,10.0
1000082,No,262.0,Mobile,42490.0,1.0,3,Medical,3.0,2859,1,0.0,18,No,1,0.0,6.0
1000083,No,412.0,Mobile,3885.0,1.0,2,Financial,70.0,10239,3,0.0,14,No,4,1.0,24.0
1000084,No,285.0,Mobile,20055.0,1.0,3,Medical,79.0,5329,7,1.0,12,No,4,3.0,17.0
1000085,No,255.0,Mobile,40355.0,1.0,2,Medical,94.0,4325,1,0.0,15,No,3,0.0,5.0
1000086,No,271.0,Mobile,49000.0,1.0,3,Financial,49.0,7260,4,0.0,11,No,1,0.0,37.0
1000087,No,271.0,Mobile,18935.0,1.0,1,Entertainment,62.0,2322,3,0.0,13,No,3,1.0,3.0
1000088,No,382.0,Mobile,15120.0,1.0,4,Financial,96.0,2075,3,0.0,23,Yes,2,2.0,10.0
1000089,No,225.0,Mobile,10080.0,1.0,3,Financial,99.0,4152,1,0.0,19,No,1,3.0,11.0
1000090,Yes,345.0,Mobile,23415.0,1.0,2,Medical,64.0,9619,1,0.0,16,No,4,0.0,9.0
1000091,No,300.0,Mobile,18550.0,1.0,4,Financial,78.0,13503,1,0.0,22,Yes,4,1.0,22.0
1000092,No,382.0,Mobile,22120.0,21.0,4,Social media,71.0,5441,0,1.0,22,Yes,4,0.0,11.0
1000093,No,225.0,Mobile,46690.0,1.0,2,Medical,63.0,5209,1,1.0,12,No,2,3.0,11.0
1000094,No,345.0,Mobile,22330.0,1.0,3,Medical,40.0,10673,2,1.0,13,No,3,1.0,21.0
1000095,No,240.0,Mobile,38255.0,1.0,4,Medical,87.0,5010,1,0.0,16,No,1,0.0,12.0
1000096,No,405.0,Mobile,42595.0,1.0,4,Entertainment,60.0,13549,9,0.0,12,No,1,1.0,16.0
1000097,No,180.0,Mobile,47355.0,1.0,2,Other,75.0,4999,0,0.0,21,Yes,1,1.0,4.0
1000098,No,210.0,Mobile,28076.0,1.0,3,Medical,75.0,4221,1,0.0,15,No,2,0.0,5.0
1000099,No,435.0,Mobile,23870.0,10.0,4,Medical,37.0,13872,0,0.0,13,No,3,0.0,38.0
1000100,No,330.0,Mobile,17115.0,23.0,3,Medical,67.0,2042,4,0.0,12,No,3,1.0,17.0
1000101,Yes,277.0,Mobile,28245.0,1.0,4,Tour and Travel,63.0,2073,4,1.0,22,Yes,4,0.0,7.0
1000102,No,240.0,Mobile,28945.0,1.0,1,Financial,71.0,2956,1,0.0,13,No,4,0.0,1.0
1000103,Yes,150.0,Mobile,30485.0,1.0,3,Financial,66.0,2926,1,1.0,18,No,2,0.0,1.0
1000104,No,255.0,Mobile,23275.0,1.0,4,Other,41.0,4809,1,0.0,14,No,3,0.0,16.0
1000105,No,277.0,Mobile,36400.0,1.0,2,Financial,100.0,5163,5,0.0,14,No,4,1.0,17.0
1000106,No,271.0,Mobile,49700.0,1.0,4,Tour and Travel,32.0,18844,9,0.0,21,Yes,4,1.0,30.0
1000107,No,375.0,Mobile,39025.0,1.0,3,Financial,73.0,18172,3,1.0,19,No,1,0.0,28.0
1000108,Yes,187.0,Mobile,8400.0,1.0,3,Social media,46.0,5744,1,1.0,11,No,4,0.0,6.0
1000109,No,187.0,Mobile,44800.0,1.0,1,Medical,64.0,2889,1,0.0,11,No,3,2.0,2.0
1000110,No,165.0,Mobile,18690.0,15.0,3,Medical,59.0,2871,1,0.0,15,No,3,0.0,1.0
1000111,No,382.0,Mobile,50960.0,1.0,4,Medical,3.0,7484,3,0.0,20,Yes,3,0.0,23.0
1000112,Yes,255.0,Mobile,23030.0,1.0,3,Financial,66.0,6074,1,1.0,24,Yes,4,0.0,9.0
1000113,No,405.0,Mobile,4970.0,26.0,3,Tour and Travel,3.0,17328,2,1.0,12,No,3,0.0,23.0
1000114,No,180.0,Mobile,39445.0,18.0,1,Financial,52.0,2774,0,0.0,12,No,3,1.0,6.0
1000115,No,255.0,Mobile,36085.0,1.0,4,Financial,45.0,4505,6,0.0,15,No,3,1.0,12.0
1000116,No,277.0,Mobile,41615.0,1.0,3,Financial,87.0,7428,2,0.0,12,No,1,0.0,12.0
1000117,No,255.0,Mobile,47390.0,1.0,3,Medical,45.0,11631,2,0.0,12,No,4,0.0,14.0
1000118,No,270.0,Mobile,51345.0,11.0,2,Entertainment,92.0,9738,0,0.0,14,No,3,1.0,10.0
1000119,No,270.0,Mobile,32270.0,1.0,2,Financial,39.0,2835,5,0.0,22,Yes,1,1.0,7.0
1000120,No,322.0,Mobile,13790.0,26.0,2,Beach,92.0,16959,1,1.0,12,No,4,2.0,25.0
1000121,No,225.0,Mobile,45920.0,23.0,3,Financial,75.0,2613,1,0.0,25,Yes,3,3.0,10.0
1000122,No,247.0,Mobile,26250.0,22.0,2,Social media,75.0,6146,0,0.0,13,No,1,1.0,8.0
1000123,Yes,271.0,Mobile,15435.0,14.0,4,Financial,72.0,4963,9,1.0,18,No,1,3.0,7.0
1000124,No,382.0,Mobile,23940.0,1.0,3,Financial,51.0,19537,7,0.0,13,No,3,0.0,23.0
1000125,Yes,232.0,Mobile,8715.0,1.0,4,Financial,76.0,6172,4,1.0,18,No,2,0.0,12.0
1000126,No,195.0,Mobile,29435.0,1.0,3,Other,46.0,2368,1,0.0,19,No,3,0.0,5.0
1000127,Yes,435.0,Mobile,5145.0,23.0,4,Medical,94.0,10312,1,0.0,12,No,4,1.0,40.0
1000128,Yes,42.0,Mobile,18480.0,22.0,1,Social media,50.0,1675,1,1.0,19,No,4,0.0,0.0
1000129,No,165.0,Mobile,20790.0,1.0,1,Entertainment,100.0,2523,0,0.0,14,No,3,1.0,3.0
1000130,No,367.0,Mobile,16450.0,20.0,4,Medical,96.0,6567,1,0.0,14,No,3,0.0,16.0
1000131,No,322.0,Mobile,33495.0,28.0,3,Medical,72.0,4739,4,0.0,12,No,4,0.0,18.0
1000132,No,375.0,Mobile,28315.0,12.0,3,Social media,77.0,9208,4,0.0,11,No,4,0.0,16.0
1000133,Yes,232.0,Mobile,18970.0,20.0,3,Financial,71.0,4559,3,1.0,11,No,3,1.0,4.0
1000134,No,307.0,Mobile,28070.0,1.0,1,Financial,96.0,8189,3,1.0,13,No,3,1.0,12.0
1000135,No,195.0,Mobile,47425.0,25.0,1,Financial,61.0,2942,1,0.0,23,Yes,4,1.0,8.0
1000136,No,270.0,Mobile,7560.0,1.0,2,Medical,84.0,4941,6,0.0,20,Yes,4,2.0,7.0
1000137,Yes,382.0,Mobile,40250.0,1.0,4,Financial,53.0,10650,2,0.0,15,No,4,0.0,18.0
1000138,No,292.0,Mobile,28076.0,1.0,4,Financial,47.0,5902,4,0.0,14,No,3,1.0,17.0
1000139,No,187.0,Mobile,28076.0,28.0,3,Financial,41.0,8639,2,0.0,18,No,4,0.0,6.0
1000140,No,225.0,Mobile,28076.0,1.0,3,Tour and Travel,48.0,6347,0,1.0,19,No,4,0.0,12.0
1000141,Yes,240.0,Mobile,36155.0,1.0,3,Medical,41.0,4200,7,0.0,22,Yes,1,0.0,10.0
1000142,No,271.0,Mobile,46060.0,29.0,3,Medical,83.0,3452,5,0.0,13,No,2,0.0,9.0
1000143,No,285.0,Mobile,12740.0,1.0,5,Entertainment,32.0,4317,3,1.0,20,Yes,2,0.0,19.0
